Source_Database	MEGARes_Header	Source_Headers(space_separated)
CARD	Bla|OXA-166|HM488987|1-822|822|betalactams|Class_D_betalactamases|OXA	@phgb|HM488987|0-822|ARO:3001466|OXA-166 [Acinetobacter baumannii]
Lahey	Bla|OXA-166|HM488987|1-822|822|betalactams|Class_D_betalactamases|OXA	ADK35870.1 HM488987.1:1-822
NCBI	Bla|OXA-166|HM488987|1-822|822|betalactams|Class_D_betalactamases|OXA	gi|300825671|gb|HM488987.1|1-822
Resfinder	Bla|OXA-166|HM488987|1-822|822|betalactams|Class_D_betalactamases|OXA	blaOXA-166_1_HM488987
CARD	gi|698174191|gb|KM087850.1|betalactams|Class_C_betalactamases|DHA	@phgb|KM087850|0-1140|ARO:3002148|DHA-17 [Morganella morganii]
Lahey	gi|698174191|gb|KM087850.1|betalactams|Class_C_betalactamases|DHA	AIT76103.1 KM087850.1:1-1140
NCBI	gi|698174191|gb|KM087850.1|betalactams|Class_C_betalactamases|DHA	gi|698174191|gb|KM087850.1|1-1140
NCBI	Flq|CR628337.1|gene1424|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	gi|53752796|emb|CR628337.1|1525332-1527923
ARG-ANNOT	gi|301071045|gb|HM544040.1|betalactams|Class_C_betalactamases|CMY	(Bla)CMY-55:HM544040:1-1146:1146
CARD	gi|301071045|gb|HM544040.1|betalactams|Class_C_betalactamases|CMY	@phgb|HM544040|0-1146|ARO:3002066|CMY-55 [Escherichia coli]
Lahey	gi|301071045|gb|HM544040.1|betalactams|Class_C_betalactamases|CMY	ADK55605.1 HM544040.1:1-1146
NCBI	gi|301071045|gb|HM544040.1|betalactams|Class_C_betalactamases|CMY	gi|301071045|gb|HM544040.1|1-1146
Resfinder	gi|301071045|gb|HM544040.1|betalactams|Class_C_betalactamases|CMY	blaCMY-55_1_HM544040
NCBI	gi|13236847|gb|AY027590.1|betalactams|Class_A_betalactamases|TEM	gi|695200248|ref|NG_035413.1|1-973
CARD	CARD|pvgb|CP001485|303730-304966|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	@pvgb|CP001485|303730-304966|ARO:3001312|elfamycin resistant EF-Tu [Vibrio cholerae MJ-1236]
NCBI	CARD|pvgb|CP001485|303730-304966|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	gi|939204655|gb|CP006947.1|2834796-2836032 gi|861210305|gb|CP007653.1|213912-212676 gi|695931389|gb|CP007634.1|2761195-2759959 gi|657184927|dbj|AP014524.1|213965-212729 gi|356645562|gb|CP003069.1|2760518-2759282 gi|229368777|gb|CP001485.1|303731-304967 gi|227011820|gb|CP001235.1|385943-384707 gi|227008125|gb|CP001233.1|321236-320000 gi|146314918|gb|CP000627.1|2878595-2877359 gi|109703404|gb|DQ773055.1|1183-1
CARD	CARD|phgb|FJ768952|0-1488|ARO:3000237|tolC|Multi-drug_resistance|Multi-drug_efflux_pumps|TOLC	@phgb|FJ768952|0-1488|ARO:3000237|tolC [Escherichia coli]
NCBI	CARD|phgb|FJ768952|0-1488|ARO:3000237|tolC|Multi-drug_resistance|Multi-drug_efflux_pumps|TOLC	gi|985000614|gb|CP014225.1|1375309-1376796 gi|939732440|gb|CP011343.2|3153181-3154668 gi|939731527|gb|CP011342.2|3153926-3155413 gi|937526251|gb|CP012870.1|1463547-1462060 gi|937521852|gb|CP012869.1|1463547-1462060 gi|937517453|gb|CP012868.1|1463547-1462060 gi|932857508|emb|LN877770.1|4002440-4003927 gi|923416119|gb|CP011113.1|3134827-3136314 gi|857137982|gb|CP011495.1|4428359-4429846 gi|817589947|gb|CP011324.1|3164203-3165690
ARG-ANNOT	Bla|IND-1|EF394436|1-720|720|betalactams|Class_B_betalactamases|IND	(Bla)IND-1:EF394436:1-720:720
NCBI	Bla|IND-1|EF394436|1-720|720|betalactams|Class_B_betalactamases|IND	gi|126571818|gb|EF394436.1|1-720
NCBI	Bla|TEM-2_3_AJ251946|betalactams|Class_A_betalactamases|TEM	gi|6634544|emb|AJ251946.1|520-1380
Resfinder	Bla|TEM-2_3_AJ251946|betalactams|Class_A_betalactamases|TEM	blaTEM-2_3_AJ251946
ARG-ANNOT	AGly|Aph3-Ia|HQ840942|23569-24384|816|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	(AGly)Aph3-Ia:HQ840942:23569-24384:816
NCBI	AGly|Aph3-Ia|HQ840942|23569-24384|816|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	gi|695225320|ref|NG_041266.1|23569-24384 gi|159885254|dbj|AB366440.1|79958-79143
CARD	223|AJ000283.1|AJ000283|Multi-drug_resistance|Multi-drug_efflux_pumps|TAP	@phgb|AJ000283|619-1849|ARO:3000343|tap [Mycobacterium fortuitum]
NCBI	223|AJ000283.1|AJ000283|Multi-drug_resistance|Multi-drug_efflux_pumps|TAP	gi|2292924|emb|AJ000283.1|620-1849
NCBI	Flq|NC_011595.7059884|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	gi|751410783|gb|CP010781.1|239136-241355 gi|213985689|gb|CP001172.1|3539471-3537252
ARG-ANNOT	gi|30961997|gb|AY288523.1|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-49:AY288523:1-825:825
CARD	gi|30961997|gb|AY288523.1|betalactams|Class_D_betalactamases|OXA	@phgb|AY288523|0-825|ARO:3001671|OXA-49 [Acinetobacter baumannii]
Lahey	gi|30961997|gb|AY288523.1|betalactams|Class_D_betalactamases|OXA	AAP40270.1 AY288523.1:1-825
NCBI	gi|30961997|gb|AY288523.1|betalactams|Class_D_betalactamases|OXA	gi|30961997|gb|AY288523.1|1-825
Resfinder	gi|30961997|gb|AY288523.1|betalactams|Class_D_betalactamases|OXA	blaOXA-49_1_AY288523
CARD	Bla|OXA-329_1_KF203103|betalactams|Class_D_betalactamases|OXA	@phgb|KF203103|0-822|ARO:3001517|OXA-329 [Acinetobacter calcoaceticus]
Lahey	Bla|OXA-329_1_KF203103|betalactams|Class_D_betalactamases|OXA	AGW16411.1 KF203103.1:1-822
NCBI	Bla|OXA-329_1_KF203103|betalactams|Class_D_betalactamases|OXA	gi|544207405|gb|KF203103.1|1-822
Resfinder	Bla|OXA-329_1_KF203103|betalactams|Class_D_betalactamases|OXA	blaOXA-329_1_KF203103
ARG-ANNOT	gi|21388249|emb|AJ318093.1|betalactams|Class_A_betalactamases|TEM	(Bla)TEM-93:AJ318093:1-861:861
CARD	gi|21388249|emb|AJ318093.1|betalactams|Class_A_betalactamases|TEM	@phgb|AJ318093|0-861|ARO:3000960|TEM-93 [Escherichia coli]
Lahey	gi|21388249|emb|AJ318093.1|betalactams|Class_A_betalactamases|TEM	CAC85660.1 AJ318093.1:1-861
NCBI	gi|21388249|emb|AJ318093.1|betalactams|Class_A_betalactamases|TEM	gi|695208627|ref|NG_035626.1|1-861
Resfinder	gi|21388249|emb|AJ318093.1|betalactams|Class_A_betalactamases|TEM	blaTEM-93_1_AJ318093
ARG-ANNOT	gi|323817046|gb|HQ700343.1|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-163:HQ700343:1-786:786
CARD	gi|323817046|gb|HQ700343.1|betalactams|Class_D_betalactamases|OXA	@phgb|HQ700343|0-786|ARO:3001783|OXA-163 [Enterobacter cloacae]
Lahey	gi|323817046|gb|HQ700343.1|betalactams|Class_D_betalactamases|OXA	ADY06444.1 HQ700343.1:1-786
NCBI	gi|323817046|gb|HQ700343.1|betalactams|Class_D_betalactamases|OXA	gi|323817046|gb|HQ700343.1|1-786
Resfinder	gi|323817046|gb|HQ700343.1|betalactams|Class_D_betalactamases|OXA	blaOXA-163_1_HQ700343
ARG-ANNOT	gi|58701179|gb|AY750913.1|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-71:AY750913:1-825:825
CARD	gi|58701179|gb|AY750913.1|betalactams|Class_D_betalactamases|OXA	@phgb|AY750913|0-825|ARO:3001619|OXA-71 [Acinetobacter baumannii]
Lahey	gi|58701179|gb|AY750913.1|betalactams|Class_D_betalactamases|OXA	AAW81342.1 AY750913.1:1-825
NCBI	gi|58701179|gb|AY750913.1|betalactams|Class_D_betalactamases|OXA	gi|57491187|gb|AY859528.1|1-825
Resfinder	gi|58701179|gb|AY750913.1|betalactams|Class_D_betalactamases|OXA	blaOXA-71_1_AY859528
ARG-ANNOT	MLS|ErmT|M64090|168-902|735|MLS|23S_rRNA_methyltransferases|ERMR	(MLS)ErmT:M64090:168-902:735
CARD	MLS|ErmT|M64090|168-902|735|MLS|23S_rRNA_methyltransferases|ERMR	@phgb|M64090|0-735|ARO:3000595|ErmT [Plasmid pGT633]
NCBI	MLS|ErmT|M64090|168-902|735|MLS|23S_rRNA_methyltransferases|ERMR	gi|148726|gb|M64090.1|G63ERMGT|168-902
Resfinder	MLS|ErmT|M64090|168-902|735|MLS|23S_rRNA_methyltransferases|ERMR	erm(T)_1_M64090
NCBI	1541|JF268688.1|JF268688|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation	gi|343916463|gb|JF268689.1|5207-5836 gi|343916452|gb|JF268688.1|6609-7238
ARG-ANNOT	Gly|VanH-M|FJ349556|3884-4864|981|Glycopeptides|VanM-type_resistance_protein|VANHM	(Gly)VanH-M:FJ349556:3884-4864:981
CARD	Gly|VanH-M|FJ349556|3884-4864|981|Glycopeptides|VanM-type_resistance_protein|VANHM	@phgb|FJ349556|3883-4864|ARO:3002947|vanHM [Enterococcus faecium]
NCBI	Gly|VanH-M|FJ349556|3884-4864|981|Glycopeptides|VanM-type_resistance_protein|VANHM	gi|220901852|gb|FJ349556.1|3884-4864
Resfinder	Gly|VanH-M|FJ349556|3884-4864|981|Glycopeptides|VanM-type_resistance_protein|VANHM	VanH-M_1_FJ349556
CARD	CARD|phgb|AB061440|305-770|ARO:3002870|tet34|Tetracyclines|Tetracycline_inactivation_enzymes|TET34	@phgb|AB061440|305-770|ARO:3002870|tet34 [Vibrio sp. No.6]
NCBI	CARD|phgb|AB061440|305-770|ARO:3002870|tet34|Tetracyclines|Tetracycline_inactivation_enzymes|TET34	gi|14278992|dbj|AB061440.1|306-770
Resfinder	CARD|phgb|AB061440|305-770|ARO:3002870|tet34|Tetracyclines|Tetracycline_inactivation_enzymes|TET34	tet(34)_1_AB061440
NCBI	ACou|AY136281.1|gene1|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|gyrB|RequiresSNPConfirmation	gi|28627815|gb|AY136281.1|1-2034 gi|24940583|gb|AF329398.1|40574-42291
NCBI	gi|675278057|gb|KJ911020.1|betalactams|Class_A_betalactamases|CTX	gi|675278059|gb|KJ911021.1|110-1044 gi|675278057|gb|KJ911020.1|112-1046
CARD	CARD|phgb|NC_003197|2039657-2040380|ARO:3000826|sdiA|Multi-drug_resistance|MDR_regulator|SDIA	@phgb|NC_003197|2039657-2040380|ARO:3000826|sdiA [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
NCBI	CARD|phgb|NC_003197|2039657-2040380|ARO:3000826|sdiA|Multi-drug_resistance|MDR_regulator|SDIA	gi|981191958|emb|LN999997.1|3383138-3382415 gi|973795115|gb|AE006468.2|2039655-2040378 gi|928084184|gb|CP012681.1|2033838-2034561 gi|821161554|gb|CP011428.1|2068127-2068850 gi|808186398|gb|CP007523.1|2771832-2772555 gi|777177758|emb|LN829401.1|886131-885408 gi|764057510|gb|CP007235.1|2771629-2772352 gi|674281104|gb|CP009102.1|1966269-1966992 gi|669110799|gb|CP007804.2|1941677-1942400 gi|661245796|dbj|AP014565.1|2165275-2165998
ARG-ANNOT	AGly|APH-Stph|HE579073|1778413-1779213|801|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	(AGly)APH-Stph:HE579073:1778413-1779213:801
NCBI	AGly|APH-Stph|HE579073|1778413-1779213|801|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	gi|984671414|emb|LT009690.1|1837728-1836928 gi|974697948|dbj|AP017320.1|1877070-1876270 gi|974161314|gb|CP012018.1|1956333-1955533 gi|974158397|gb|CP012015.1|1957054-1956254 gi|974155539|gb|CP012013.1|1965147-1964347 gi|974152716|gb|CP012012.1|1951103-1950303 gi|974149849|gb|CP012011.1|2008501-2007701 gi|941146344|gb|CP007676.1|1840856-1840056 gi|941142962|gb|CP007672.1|1839240-1838440 gi|941139768|gb|CP007657.1|1852930-1852130
CARD	gi|469518773|gb|JX173956.1|betalactams|Class_C_betalactamases|MOX	@phgb|JX173956|0-1152|ARO:3002190|MOX-8 [Aeromonas caviae]
Lahey	gi|469518773|gb|JX173956.1|betalactams|Class_C_betalactamases|MOX	AGH56079.1 JX173956.1:1-1152
NCBI	gi|469518773|gb|JX173956.1|betalactams|Class_C_betalactamases|MOX	gi|469518773|gb|JX173956.1|1-1152
ARG-ANNOT	751|AY618461.1|AY618461|Glycopeptides|VanA-type_resistance_protein|VANXA	(Gly)VanX-Ac2:AY618461:1756-2316:561
NCBI	751|AY618461.1|AY618461|Glycopeptides|VanA-type_resistance_protein|VANXA	gi|47834366|gb|AY618461.1|1756-2316
Resfinder	751|AY618461.1|AY618461|Glycopeptides|VanA-type_resistance_protein|VANXA	VanX-Ac2_7_AY618461
NCBI	ACou|CP004022.1|gene2481|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	gi|529186758|gb|CP004022.1|2700831-2698936
ARG-ANNOT	Bla|cphA|AY261378|1-765|765|betalactams|Class_B_betalactamases|CPHA	(Bla)cphA:AY261378:1-765:765
NCBI	Bla|cphA|AY261378|1-765|765|betalactams|Class_B_betalactamases|CPHA	gi|33150467|gb|AY261378.1|1-765
Resfinder	Bla|cphA|AY261378|1-765|765|betalactams|Class_B_betalactamases|CPHA	cphA1_3_AY261378
CARD	Bla|OXA-144_1_FJ617207|betalactams|Class_D_betalactamases|OXA	@phgb|FJ617207|0-828|ARO:3001800|OXA-226 [Pseudomonas aeruginosa]
Lahey	Bla|OXA-144_1_FJ617207|betalactams|Class_D_betalactamases|OXA	ACM67635.1 FJ617207.1:1-828
NCBI	Bla|OXA-144_1_FJ617207|betalactams|Class_D_betalactamases|OXA	gi|222820564|gb|FJ617207.1|1-828
Resfinder	Bla|OXA-144_1_FJ617207|betalactams|Class_D_betalactamases|OXA	blaOXA-144_1_FJ617207
ARG-ANNOT	Bla|CMY-66|JN714478|1035-2180|1146|betalactams|Class_C_betalactamases|CMY	(Bla)CMY-66:JN714478:1035-2180:1146
CARD	Bla|CMY-66|JN714478|1035-2180|1146|betalactams|Class_C_betalactamases|CMY	@phgb|JN714478|1034-2180|ARO:3002079|CMY-66 [Citrobacter freundii]
Lahey	Bla|CMY-66|JN714478|1035-2180|1146|betalactams|Class_C_betalactamases|CMY	AEZ49849.1 JN714478.1:1035-2180
NCBI	Bla|CMY-66|JN714478|1035-2180|1146|betalactams|Class_C_betalactamases|CMY	gi|374414413|gb|JN714478.1|1035-2180
Resfinder	Bla|CMY-66|JN714478|1035-2180|1146|betalactams|Class_C_betalactamases|CMY	blaCMY-66_1_JN714478
CARD	Fos|AP010904.1|gene1560|Fosfomycin|Fosfomycin_hydrases|FOSX	@phgb|AP010904|1708923-1709388|ARO:3000198|FosX [Desulfovibrio magneticus RS-1]
NCBI	Fos|AP010904.1|gene1560|Fosfomycin|Fosfomycin_hydrases|FOSX	gi|239794502|dbj|AP010904.1|1708924-1709388
NCBI	ACou|NC_010611.6235284|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	gi|183207914|gb|CP000863.1|3775297-3773411
CARD	CARD|phgb|KJ151292|294-2892|ARO:3000444|rifampin|Rifampin|Rifampin_phosphotransferase|RPH	@phgb|KJ151292|294-2892|ARO:3000444|rifampin phosphotransferase [Streptomyces sp. WAC4747]
NCBI	CARD|phgb|KJ151292|294-2892|ARO:3000444|rifampin|Rifampin|Rifampin_phosphotransferase|RPH	gi|636629760|gb|KJ151292.1|295-2893
CARD	CARD|phgb|AB091338|173-1355|ARO:3003551|emeA|Multi-drug_resistance|Multi-drug_efflux_pumps|EMEA	@phgb|AB091338|173-1355|ARO:3003551|emeA [Enterococcus faecalis ATCC 29212]
NCBI	CARD|phgb|AB091338|173-1355|ARO:3003551|emeA|Multi-drug_resistance|Multi-drug_efflux_pumps|EMEA	gi|22775586|dbj|AB091338.1|174-1355 gi|22775586|dbj|AB091338.1|593-632 gi|22775586|dbj|AB091338.1|620-659 gi|674288313|gb|CP008816.1|139221-139956 gi|674288313|gb|CP008816.1|138802-139260
CARD	AGly|U01945.1|gene1|Aminoglycosides|Aminoglycoside_N-acetyltransferases|SAT	@phgb|U01945|373-916|ARO:3002897|sat-4 [Campylobacter coli]
NCBI	AGly|U01945.1|gene1|Aminoglycosides|Aminoglycoside_N-acetyltransferases|SAT	gi|732997|gb|U01945.1|CCU01945|374-916 gi|388535180|gb|CP003585.1|66247-65833
CARD	CARD|phgb|AF227204|73-934|ARO:3001084|SHV-26|betalactams|Class_A_betalactamases|SHV	@phgb|AF227204|73-934|ARO:3001084|SHV-26 [Klebsiella pneumoniae]
NCBI	CARD|phgb|AF227204|73-934|ARO:3001084|SHV-26|betalactams|Class_A_betalactamases|SHV	gi|7109288|gb|AF227204.1|AF227204|74-935 gi|640850664|gb|CP007731.1|2546141-2545281 gi|562889810|gb|KF585139.1|48-908
ARG-ANNOT	Tet|TetQ|Z21523|362-2287|1926|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ	(Tet)TetQ:Z21523:362-2287:1926
CARD	Tet|TetQ|Z21523|362-2287|1926|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ	@phgb|Z21523|0-1974|ARO:3000191|tetQ [Bacteroides fragilis]
NCBI	Tet|TetQ|Z21523|362-2287|1926|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ	gi|676287604|gb|KJ816753.1|79377-81350 gi|311358930|gb|HM561908.1|519-2492 gi|311358883|gb|HM561907.1|519-2492 gi|394758|emb|Z21523.1|314-2287
Resfinder	Tet|TetQ|Z21523|362-2287|1926|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ	tet(Q)_4_Z21523
CARD	CARD|phgb|AY853593|214-1075|ARO:3001002|TEM-138|betalactams|Class_A_betalactamases|TEM	@phgb|AY853593|214-1075|ARO:3001002|TEM-138 [Salmonella enterica]
NCBI	CARD|phgb|AY853593|214-1075|ARO:3001002|TEM-138|betalactams|Class_A_betalactamases|TEM	gi|695211221|ref|NG_036036.1|215-1076
CARD	CARD|phgb|EF526508|0-645|ARO:3002723|QnrB9|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	@phgb|EF526508|0-645|ARO:3002723|QnrB9 [Citrobacter freundii]
NCBI	CARD|phgb|EF526508|0-645|ARO:3002723|QnrB9|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	gi|157695006|gb|EU136184.1|37-681 gi|145617242|gb|EF526508.1|1-645
ARG-ANNOT	MLS|MphA|DQ445270|1626-2531|1230|MLS|Macrolide_phosphotransferases|MPHA	(MLS)MphA:DQ445270:1626-2531:1230
CARD	MLS|MphA|DQ445270|1626-2531|1230|MLS|Macrolide_phosphotransferases|MPHA	@phgb|AJ698325|6453-7359|ARO:3000316|mphA [uncultured bacterium]
NCBI	MLS|MphA|DQ445270|1626-2531|1230|MLS|Macrolide_phosphotransferases|MPHA	gi|970698242|gb|KT988020.1|5973-5068 gi|970698221|gb|KT988019.1|14502-13597 gi|970698093|gb|KT988018.1|3861-2956 gi|971888686|gb|KT884517.1|38759-39664 gi|971520763|gb|CP008715.1|89165-88260 gi|970338578|gb|KT725789.1|70430-71335 gi|966626646|gb|CP013657.1|5368-4463 gi|962562976|emb|LN624486.1|70175-69270 gi|929916870|gb|KR822247.1|34169-33264 gi|926539378|gb|CP012632.1|59026-59931
ARG-ANNOT	gi|428230271|gb|KC107824.1|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-139:KC107824:1-876:876
CARD	gi|428230271|gb|KC107824.1|betalactams|Class_A_betalactamases|CTX	@phgb|KC107824|0-876|ARO:3001997|CTX-M-139 [Escherichia coli]
Lahey	gi|428230271|gb|KC107824.1|betalactams|Class_A_betalactamases|CTX	AFY98865.1 KC107824.1:1-876
NCBI	gi|428230271|gb|KC107824.1|betalactams|Class_A_betalactamases|CTX	gi|428230271|gb|KC107824.1|1-876
Resfinder	gi|428230271|gb|KC107824.1|betalactams|Class_A_betalactamases|CTX	blaCTX-M-139_1_KC107824
NCBI	gi|151074|gb|M69058.1|PSEBETLAC|betalactams|Class_A_betalactamases|CARB	gi|800908878|gb|KP345882.1|99157-98041 gi|800908878|gb|KP345882.1|65883-65805 gi|777182157|emb|LN829403.1|70501-71617 gi|766547679|gb|KP116299.1|40674-41790 gi|766547679|gb|KP116299.1|20712-20795 gi|742994109|gb|CP010391.1|50897-49781 gi|704485843|gb|KJ186153.1|37177-38293 gi|686483924|gb|KM111262.1|22-1138 gi|675294670|dbj|AB985401.1|878-1994 gi|660573358|gb|CP008790.1|138968-140084 gi|660573358|gb|CP008790.1|155445-155524 gi|628945956|gb|KJ488985.1|12-1128 gi|618631222|gb|CP007581.1|4120474-4121590
ARG-ANNOT	Tet|TetG|AF133140|757-1932|1176|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETG	(Tet)TetG:AF133140:757-1932:1176
NCBI	Tet|TetG|AF133140|757-1932|1176|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETG	gi|828977575|gb|CP011649.1|65403-64228 gi|828916727|gb|CP011583.1|58463-59638 gi|828911534|gb|CP011580.1|65403-64228 gi|828895865|gb|CP011571.1|44905-46080 gi|700676355|gb|KM234279.1|32631-33806 gi|777182157|emb|LN829403.1|65949-67124 gi|761589803|dbj|AP014651.1|321550-320375 gi|761589803|dbj|AP014651.1|5297525-5298700 gi|704485843|gb|KJ186153.1|32625-33800 gi|704485786|gb|KJ186152.1|32631-33806 gi|674252391|gb|CP008739.2|6816855-6818030
Resfinder	Tet|TetG|AF133140|757-1932|1176|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETG	tet(G)_4_AF133140
Lahey	Bla|OXA-114_2_HM368375|betalactams|Class_D_betalactamases|OXA	ADO14462.1 HM368375.1:1-828
NCBI	Bla|OXA-114_2_HM368375|betalactams|Class_D_betalactamases|OXA	gi|777196577|emb|LN831029.1|4583884-4584711 gi|308097802|gb|HM368375.1|1-828
Resfinder	Bla|OXA-114_2_HM368375|betalactams|Class_D_betalactamases|OXA	blaOXA-114_2_HM368375
NCBI	Bla|SHV-1_3_X98098|betalactams|Class_A_betalactamases|SHV	gi|2113854|emb|X98098.1|74-934
Resfinder	Bla|SHV-1_3_X98098|betalactams|Class_A_betalactamases|SHV	blaSHV-1_3_X98098
CARD	gi|40737711|gb|AY368237.1|betalactams|Class_A_betalactamases|TEM	@phgb|AY368237|0-861|ARO:3000990|TEM-128 [Escherichia coli]
Lahey	gi|40737711|gb|AY368237.1|betalactams|Class_A_betalactamases|TEM	AAR89359.1 AY368237.1:1-861
NCBI	gi|40737711|gb|AY368237.1|betalactams|Class_A_betalactamases|TEM	gi|695210348|ref|NG_035933.1|1-861
ARG-ANNOT	67|AF047479.2|AF047479|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	(AGly)Aac6-Ia:M18967:757-1314:558
CARD	67|AF047479.2|AF047479|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	@phgb|M18967|756-1314|ARO:3002545|AAC(6')-Ia [Plasmid R]
NCBI	67|AF047479.2|AF047479|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	gi|575771387|dbj|AB901039.1|980-1537 gi|575771381|dbj|AB901038.1|1590-2147 gi|296172990|emb|FN825254.1|25715-25158 gi|213958578|gb|AF047479.2|2187-2744 gi|42543942|dbj|AB116723.1|2351-2908 gi|42391697|dbj|AB116260.1|2351-2908 gi|40645552|dbj|AB113580.1|2351-2908 gi|695208234|ref|NG_035502.1|1331-1888 gi|150871|gb|M18967.1|PRCAADA|757-1314
Resfinder	67|AF047479.2|AF047479|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	aac(6')-Ia_1_M18967
NCBI	Gly|VanA-C_4_EU151753|Glycopeptides|VanC-type_resistance_protein|VANC	gi|161779851|gb|EU151753.1|29-1081
Resfinder	Gly|VanA-C_4_EU151753|Glycopeptides|VanC-type_resistance_protein|VANC	VanC_4_EU151753
ARG-ANNOT	Bla|OXA-243a|JX206446|1-828|828|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-243a:JX206446:1-828:828
CARD	Bla|OXA-243a|JX206446|1-828|828|betalactams|Class_D_betalactamases|OXA	@phgb|JX206446|0-828|ARO:3001610|OXA-243 [Achromobacter xylosoxidans]
Lahey	Bla|OXA-243a|JX206446|1-828|828|betalactams|Class_D_betalactamases|OXA	AFQ90085.1 JX206446.1:1-828
NCBI	Bla|OXA-243a|JX206446|1-828|828|betalactams|Class_D_betalactamases|OXA	gi|402694352|gb|JX206446.1|1-828
Resfinder	Bla|OXA-243a|JX206446|1-828|828|betalactams|Class_D_betalactamases|OXA	blaOXA-243_1_JX206446
CARD	gi|66576191|gb|DQ054528.1|betalactams|Class_A_betalactamases|SHV	@phgb|AJ863560|0-861|ARO:3001111|SHV-55 [Klebsiella pneumoniae]
Lahey	gi|66576191|gb|DQ054528.1|betalactams|Class_A_betalactamases|SHV	AAY51674.1 DQ054528.1:1-861
NCBI	gi|66576191|gb|DQ054528.1|betalactams|Class_A_betalactamases|SHV	gi|66576191|gb|DQ054528.1|1-861
Resfinder	gi|66576191|gb|DQ054528.1|betalactams|Class_A_betalactamases|SHV	blaSHV-55_1_DQ054528
NCBI	Rif|JX028276.1|gene31|Rifampin|Rifampin_glycosyltransferase|RGT	gi|397529824|gb|JX028276.1|36821-35586
ARG-ANNOT	Bla|CMY-48|HM569226|1040-2185|1146|betalactams|Class_C_betalactamases|CMY	(Bla)CMY-48:HM569226:1040-2185:1146
CARD	Bla|CMY-48|HM569226|1040-2185|1146|betalactams|Class_C_betalactamases|CMY	@phgb|HM569226|1039-2185|ARO:3002059|CMY-48 [Citrobacter freundii]
Lahey	Bla|CMY-48|HM569226|1040-2185|1146|betalactams|Class_C_betalactamases|CMY	ADP02979.1 HM569226.2:1040-2185
NCBI	Bla|CMY-48|HM569226|1040-2185|1146|betalactams|Class_C_betalactamases|CMY	gi|828983113|gb|CP011657.1|2365948-2367093 gi|828940051|gb|CP011612.1|3646139-3644994 gi|347364916|gb|HM569226.2|1040-2185
Resfinder	Bla|CMY-48|HM569226|1040-2185|1146|betalactams|Class_C_betalactamases|CMY	blaCMY-48_1_HM569226
ARG-ANNOT	1251|EU571228.1|EU571228|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-133:EU571228:823-1644:825
CARD	1251|EU571228.1|EU571228|betalactams|Class_D_betalactamases|OXA	@phgb|EU571228|822-1644|ARO:3001702|OXA-133 [Acinetobacter radioresistens]
Lahey	1251|EU571228.1|EU571228|betalactams|Class_D_betalactamases|OXA	ACE63186.1 EU571228.1:823-1644
NCBI	1251|EU571228.1|EU571228|betalactams|Class_D_betalactamases|OXA	gi|190148187|gb|EU571228.1|823-1644
Resfinder	1251|EU571228.1|EU571228|betalactams|Class_D_betalactamases|OXA	blaOXA-133_1_EU571228
